fixture_id,goals_win,assists_win,shots_ontarget_win,shots_offtarget_win,shotsblocked_win,chances2score_win,drib_success_win,drib_unsuccess_win,keypasses_win,passes_acc_win,passes_inacc_win,crosses_acc_win,crosses_inacc_win,lballs_acc_win,lballs_inacc_win,grduels_w_win,grduels_l_win,aerials_w_win,aerials_l_win,poss_lost_win,fouls_win,wasfouled_win,clearances_win,stop_shots_win,interceptions_win,tackles_win,dribbled_past_win,tballs_acc_win,tballs_inacc_win,ycards_win,rcards_win,dangmistakes_win,countattack_win,offsides_win,goals_ag_otb_win,goals_ag_itb_win,saves_itb_win,saves_otb_win,saved_pen_win,missed_penalties_win,owngoals_win,p1,p2,goals_lost,assists_lost,shots_ontarget_lost,shots_offtarget_lost,shotsblocked_lost,chances2score_lost,drib_success_lost,drib_unsuccess_lost,keypasses_lost,passes_acc_lost,passes_inacc_lost,crosses_acc_lost,crosses_inacc_lost,lballs_acc_lost,lballs_inacc_lost,grduels_w_lost,grduels_l_lost,aerials_w_lost,aerials_l_lost,poss_lost_lost,fouls_lost,wasfouled_lost,clearances_lost,stop_shots_lost,interceptions_lost,tackles_lost,dribbled_past_lost,tballs_acc_lost,tballs_inacc_lost,ycards_lost,rcards_lost,dangmistakes_lost,countattack_lost,offsides_lost,goals_ag_otb_lost,goals_ag_itb_lost,saves_itb_lost,saves_otb_lost,saved_pen_lost,missed_penalties_lost,owngoals_lost
1710815,0,0,2,2,2,4,2,3,2,359,53,4,11,33,29,25,29,15,17,97,9,8,10,5,13,9,4,0,11,0,0,1,5,2,0,2,1,1,0,0,0,0,1,2,1,4,9,5,9,7,4,4,318,63,6,13,21,28,43,27,21,14,109,8,10,15,3,16,16,1,2,3,1,0,1,14,1,0,0,0,0,0,0,0
1710905,1,1,3,1,0,3,1,4,0,273,43,1,3,21,17,31,38,4,3,67,11,7,8,1,18,14,6,2,4,4,0,7,21,0,0,3,2,1,0,0,0,0,1,2,1,4,2,1,3,8,0,2,411,54,1,7,24,17,35,38,4,4,87,14,12,13,0,23,16,2,3,8,0,0,0,25,3,0,1,1,1,0,0,0
1710933,0,0,2,5,2,7,6,4,4,200,33,1,4,18,9,38,52,12,13,77,12,9,19,3,32,16,1,2,3,1,0,4,4,3,0,0,0,0,0,0,0,0,1,3,3,5,8,2,7,1,1,4,561,54,0,4,23,15,34,26,12,9,82,6,7,7,2,14,18,4,3,4,0,0,1,12,0,0,0,1,1,0,0,0
1711034,1,1,2,10,6,4,8,5,1,328,63,2,13,31,29,44,48,40,11,128,13,5,19,2,20,14,6,2,4,3,0,1,4,2,0,0,0,3,0,0,0,1,0,0,0,2,7,1,9,4,2,5,292,50,5,9,28,18,37,35,10,36,84,8,11,11,6,21,12,7,1,4,3,0,0,2,1,0,0,0,0,0,0,0
1710960,1,1,3,1,0,2,6,4,1,177,59,4,9,41,34,44,34,20,20,93,8,12,27,3,21,21,11,4,7,0,0,4,28,2,0,5,4,3,0,0,1,0,1,4,3,9,8,3,9,9,6,6,449,51,10,15,36,22,28,27,22,15,111,7,7,6,0,14,5,2,11,9,0,0,0,9,7,0,0,0,0,0,0,0
1711143,4,3,7,11,4,10,12,5,3,467,57,5,13,18,15,44,23,8,7,113,11,8,9,2,24,13,1,1,11,3,0,1,19,1,0,0,0,0,0,0,0,1,0,1,1,3,4,1,4,3,1,2,182,50,2,10,26,20,21,30,4,4,81,7,8,9,4,18,9,10,2,2,2,0,0,0,1,1,3,1,4,0,0,0
1710835,0,0,0,7,4,4,5,4,1,316,68,9,10,34,29,35,34,20,15,101,14,8,6,2,19,14,5,3,6,3,0,0,10,3,1,2,3,0,0,0,0,0,1,3,1,6,9,2,11,9,3,8,327,51,12,12,45,17,45,42,17,21,131,10,14,13,5,26,10,2,2,4,1,0,1,14,3,0,0,0,0,0,0,0
1710888,1,0,3,8,3,8,6,1,7,266,73,10,15,27,32,44,30,28,21,124,16,8,6,1,33,18,3,1,4,0,0,1,20,4,0,0,0,0,0,0,0,0,1,2,1,2,3,1,3,4,2,0,246,67,1,5,28,29,32,41,16,24,112,9,17,19,4,26,8,7,2,4,1,0,2,6,1,0,1,1,2,0,0,0
1710824,0,0,3,11,1,15,1,1,2,387,49,8,13,41,29,42,29,28,17,101,9,7,7,1,16,14,4,1,2,4,0,3,0,0,0,2,1,1,0,0,0,0,1,2,2,4,2,1,3,7,3,3,293,54,2,2,28,26,35,32,14,16,79,6,9,9,1,16,13,0,2,2,1,0,0,18,2,0,0,0,0,0,0,0
1710983,0,0,2,8,2,10,9,4,3,251,51,7,10,36,18,41,30,33,22,105,7,6,12,3,24,15,5,1,5,0,0,0,6,5,0,0,1,1,0,0,0,1,0,0,0,2,6,3,6,5,2,2,222,57,2,8,40,17,20,31,23,27,85,8,7,5,0,19,9,8,0,0,0,0,1,5,0,1,0,1,1,0,0,0
